evaluation,log_loss,roc_auc,rank,participants,notes
final_blend_full_oof_optimized,0.361771,0.919448,,,In-sample optimized value from bundled submission metadata
repeated_cross_fitted_blend,0.362112,0.916002,,,Preferred internal estimate from repeated constrained logit blending
best_pre_final,0.4103,0.8999,,,Best result observed before final evaluation
final_private,0.4471,0.8777,254,1009,Final competition evaluation
